Month,Week,ManagedObjectid,Usage,MeterType
May,1,22722674,3000,Integrated
,,,,
May,1,22723060,12000,Integrated
,,,,
May,1,71786754,3000,Integrated
,,,,
May,1,22723571,2000,Integrated
,,,,
May,1,22723883,3000,Integrated
,,,,
May,1,22723611,3000,Integrated
,,,,
May,1,22723020,3000,Integrated
,,,,
May,1,71786720,0,Integrated
,,,,
May,1,22723230,4000,Integrated
,,,,
May,1,29531133,1000,Integrated
,,,,
May,1,22723530,1000,Integrated
,,,,
May,1,71786632,1000,Integrated
,,,,
May,1,71786541,1000,Integrated
,,,,
May,1,22723882,4000,Integrated
,,,,
May,1,22722912,3000,Integrated
,,,,
May,1,22722914,3000,Integrated
,,,,
May,1,22723647,2000,Integrated
,,,,
May,1,71778980,4000,Integrated
,,,,
May,1,22723258,3000,Integrated
,,,,
May,1,71778992,8000,Integrated
,,,,
May,1,22723124,1000,Integrated
,,,,
May,1,22723809,18000,Integrated
,,,,
May,1,71786694,5000,Integrated
,,,,
May,1,22723315,1000,Integrated
,,,,
May,1,22723523,2000,Integrated
,,,,
May,1,22724116,4000,Integrated
,,,,
May,1,22722665,2000,Integrated
,,,,
May,1,22724242,2000,Integrated
,,,,
May,1,71786697,13000,Integrated
,,,,
May,1,22723646,2000,Integrated
,,,,
May,1,22540239,3000,Integrated
,,,,
May,1,22723183,3000,Integrated
,,,,
May,1,22722638,2000,Integrated
,,,,
May,1,22722633,2000,Integrated
,,,,
May,1,22724056,1000,Integrated
,,,,
May,1,22723797,1000,Integrated
,,,,
May,1,22723965,4000,Integrated
,,,,
May,1,22723439,3000,Integrated
,,,,
May,1,22724055,4000,Integrated
,,,,
May,1,22540235,5000,Integrated
,,,,
May,1,22724077,0,Integrated
,,,,
May,1,22723537,3000,Integrated
,,,,
May,1,22724030,4000,Integrated
,,,,
May,1,22724046,15000,Integrated
,,,,
May,1,71786629,2000,Integrated
,,,,
May,1,22673043,4000,Integrated
,,,,
May,1,29531071,1000,Integrated
,,,,
May,1,22723836,1000,Integrated
,,,,
