Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
24008,LYRUP,SA,650.8,732.8,31.3,100,-34.26,140.65,22
24564,BLANCHETOWN LOCK 1,SA,650.8,870.3,7.8,52,-34.35,139.62,11
7207,LANDOR AIRSTRIP,WA,650.6,656.9,-1.0,8,-25.13,116.94,385
25050,CALIPH,SA,645.8,795.9,10.8,38,-34.63,140.24,68
20028,GLUEPOT RESERVE (GLUEPOT),SA,636.1,781.3,-1.0,18,-33.76,140.13,57
76133,LINDSAY POINT,VIC,633.4,857.1,10.0,31,-34.11,141.02,59
7008,BRYAH,WA,633.2,589.7,66.0,48,-25.51,118.80,550
16001,WOOMERA AERODROME,SA,629.8,543.4,74.3,71,-31.16,136.81,167
7210,BURRINGURRAH AIRSTRIP,WA,628.0,714.4,-1.0,4,-24.63,116.95,454
47053,WENTWORTH POST OFFICE,NSW,627.3,849.4,8.5,107,-34.11,141.92,37
13011,WARBURTON AIRFIELD,WA,626.0,736.8,40.0,41,-26.13,126.58,459
6104,MINNIE CREEK AIRSTRIP,WA,619.8,580.3,-1.0,8,-24.03,115.69,276
24585,SWAN REACH (PONDEROSA RNDSUP),SA,618.4,781.6,-1.0,14,-34.51,139.53,82
47016,LAKE VICTORIA STORAGE,NSW,615.1,778.5,13.8,95,-34.04,141.27,26
7017,CUE,WA,613.9,702.8,28.9,115,-27.43,117.89,453
24578,MORGAN (BRENDA PARK STATION),SA,611.7,847.6,-1.0,15,-34.06,139.66,42
24025,BERRI,SA,608.2,785.2,6.5,47,-34.27,140.60,50
12038,KALGOORLIE-BOULDER AIRPORT,WA,606.8,795.3,13.0,78,-30.78,121.45,365
45009,BALLERA GAS FIELD,QLD,604.0,558.8,-1.0,18,-27.40,141.81,115
7129,MELANGATA,WA,600.4,750.4,20.8,49,-27.80,116.89,420
7197,CHALLA,WA,595.2,646.0,40.7,109,-28.28,118.31,400
19106,OODLA WIRRA (MCCOYS WELL),SA,593.7,728.8,27.0,38,-32.63,139.19,342
17123,MOOMBA AIRPORT,SA,591.2,512.1,71.4,22,-28.10,140.20,38
7159,YARRAQUIN,WA,586.1,667.8,35.5,32,-27.55,118.22,450
6105,SHARK BAY AIRPORT,WA,585.2,608.4,42.1,20,-25.89,113.58,34
20043,BRAEMAR,SA,584.4,740.2,19.4,37,-33.19,139.62,180
18114,MARALINGA,SA,583.0,677.3,28.1,33,-30.16,131.58,290
7014,COODARDY,WA,579.4,672.1,33.7,102,-27.25,117.65,500
17110,LEIGH CREEK AIRPORT,SA,579.4,641.7,44.8,30,-30.60,138.42,259
